timestamp,ear,mar,blink_rate,micro_sleeps,yawns,ml_pred,ml_conf,status
2025-11-16T20:04:15.419132,0.257,0.033,3,0,0,ALERT,0.776,NORMAL
2025-11-16T20:04:15.446291,0.252,0.0,3,0,0,ALERT,0.506,NORMAL
2025-11-16T20:04:15.479322,0.27,0.0,3,0,0,ALERT,0.956,NORMAL
2025-11-16T20:04:15.512295,0.277,0.034,3,0,0,ALERT,0.688,NORMAL
2025-11-16T20:04:15.542718,0.295,0.0,3,0,0,ALERT,0.911,NORMAL
2025-11-16T20:04:15.570196,0.288,0.0,3,0,0,ALERT,0.995,NORMAL
2025-11-16T20:04:15.601293,0.292,0.036,3,0,0,ALERT,0.664,NORMAL
2025-11-16T20:04:15.642772,0.288,0.034,3,0,0,ALERT,0.752,NORMAL
2025-11-16T20:04:15.663468,0.314,0.0,3,0,0,ALERT,0.745,NORMAL
2025-11-16T20:04:15.699516,0.298,0.0,3,0,0,DROWSY,0.612,NORMAL
2025-11-16T20:04:15.733725,0.284,0.0,3,0,0,ALERT,0.629,NORMAL
2025-11-16T20:04:15.755912,0.292,0.0,3,0,0,ALERT,0.99,NORMAL
2025-11-16T20:04:15.785690,0.296,0.0,3,0,0,ALERT,0.746,NORMAL
2025-11-16T20:04:15.831988,0.295,0.0,3,0,0,ALERT,0.988,NORMAL
2025-11-16T20:04:15.868908,0.324,0.0,3,0,0,ALERT,0.502,NORMAL
2025-11-16T20:04:15.893748,0.289,0.0,3,0,0,ALERT,0.975,NORMAL
2025-11-16T20:04:15.934272,0.27,0.0,3,0,0,ALERT,0.786,NORMAL
2025-11-16T20:04:15.957352,0.279,0.0,3,0,0,ALERT,0.896,NORMAL
2025-11-16T20:04:15.981139,0.284,0.0,3,0,0,ALERT,0.629,NORMAL
2025-11-16T20:04:16.002215,0.298,0.0,3,0,0,ALERT,0.998,NORMAL
2025-11-16T20:04:16.042459,0.283,0.0,3,0,0,ALERT,0.979,NORMAL
2025-11-16T20:04:16.087012,0.302,0.0,3,0,0,ALERT,0.868,NORMAL
2025-11-16T20:04:16.114103,0.288,0.0,3,0,0,ALERT,0.796,NORMAL
2025-11-16T20:04:16.147319,0.296,0.0,3,0,0,ALERT,0.762,NORMAL
2025-11-16T20:04:16.176674,0.281,0.0,3,0,0,DROWSY,0.873,ALERT
2025-11-16T20:04:16.203678,0.297,0.0,3,0,0,ALERT,0.67,NORMAL
2025-11-16T20:04:16.247096,0.29,0.0,3,0,0,DROWSY,0.592,NORMAL
2025-11-16T20:04:16.285505,0.31,0.0,3,0,0,ALERT,0.88,NORMAL
2025-11-16T20:04:16.315325,0.294,0.0,3,0,0,ALERT,0.752,NORMAL
2025-11-16T20:04:16.346585,0.293,0.0,3,0,0,DROWSY,0.529,NORMAL
2025-11-16T20:04:16.373701,0.265,0.0,3,0,0,ALERT,0.992,NORMAL
2025-11-16T20:04:16.412174,0.286,0.0,3,0,0,ALERT,0.927,NORMAL
2025-11-16T20:04:16.437662,0.277,0.0,3,0,0,DROWSY,0.801,ALERT
2025-11-16T20:04:16.467394,0.293,0.0,3,0,0,DROWSY,0.641,NORMAL
2025-11-16T20:04:16.515202,0.281,0.0,3,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:16.542555,0.281,0.031,3,0,0,ALERT,0.97,NORMAL
2025-11-16T20:04:16.580945,0.27,0.0,3,0,0,ALERT,0.772,NORMAL
2025-11-16T20:04:16.610296,0.298,0.0,3,0,0,ALERT,0.882,NORMAL
2025-11-16T20:04:16.638102,0.31,0.0,3,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:16.673834,0.31,0.0,3,0,0,ALERT,1.0,NORMAL
2025-11-16T20:04:16.704777,0.298,0.0,3,0,0,ALERT,0.882,NORMAL
2025-11-16T20:04:16.732995,0.319,0.0,3,0,0,ALERT,0.949,NORMAL
2025-11-16T20:04:16.765387,0.278,0.0,3,0,0,DROWSY,0.507,NORMAL
2025-11-16T20:04:16.801703,0.191,0.032,3,0,0,DROWSY,0.616,NORMAL
2025-11-16T20:04:16.825331,0.077,0.0,3,0,0,DROWSY,0.837,ALERT
2025-11-16T20:04:16.858907,0.091,0.032,3,0,0,DROWSY,0.964,ALERT
2025-11-16T20:04:16.889155,0.049,0.032,3,0,0,DROWSY,0.988,ALERT
2025-11-16T20:04:16.925284,0.058,0.0,3,0,0,DROWSY,1.0,ALERT
2025-11-16T20:04:16.960266,0.055,0.031,3,0,0,DROWSY,0.996,ALERT
2025-11-16T20:04:17.003393,0.065,0.0,3,0,0,DROWSY,0.999,ALERT
2025-11-16T20:04:17.028517,0.074,0.0,3,0,0,DROWSY,1.0,ALERT
2025-11-16T20:04:17.052534,0.09,0.0,3,0,0,DROWSY,0.987,ALERT
2025-11-16T20:04:17.109800,0.102,0.03,3,0,0,DROWSY,0.98,ALERT
2025-11-16T20:04:17.154660,0.086,0.0,3,0,0,DROWSY,1.0,ALERT
2025-11-16T20:04:17.194572,0.087,0.0,3,0,0,DROWSY,1.0,ALERT
2025-11-16T20:04:17.250165,0.094,0.0,3,0,0,ALERT,0.56,WARNING
